order_id,customer_id,product_id,order_ts,quantity,order_total,status
ORD00000601,CUST000473,PROD00048,2026-06-03 04:47:05,4,604.56,placed
ORD00000602,CUST000056,PROD00051,2026-06-03 04:35:31,1,344.47,placed
ORD00000603,CUST000257,PROD00001,2026-06-03 01:53:40,2,965.7,shipped
ORD00000604,CUST000176,PROD00028,2026-06-03 00:17:32,5,1425.65,placed
ORD00000605,CUST000149,PROD00019,2026-06-03 03:00:28,4,1498.6,delivered
ORD00000606,CUST000127,PROD00040,2026-06-03 18:36:49,2,987.78,placed
ORD00000607,CUST000144,PROD00050,2026-06-03 09:35:41,1,9.01,refunded
ORD00000608,CUST000127,PROD00043,2026-06-03 07:13:26,4,1693.72,placed
ORD00000609,CUST000401,PROD00052,2026-06-03 18:17:21,1,486.93,shipped
ORD00000610,CUST000097,PROD00055,2026-06-03 22:53:52,5,1944.95,shipped
ORD00000611,CUST000118,PROD00008,2026-06-03 14:36:36,2,474.8,placed
ORD00000612,CUST000099,PROD00060,2026-06-03 15:31:16,2,662.58,placed
ORD00000613,CUST000103,PROD00006,2026-06-03 13:50:53,1,207.94,placed
ORD00000614,CUST000157,PROD00045,2026-06-03 08:04:28,2,488.38,placed
ORD00000615,CUST000246,PROD00004,2026-06-03 15:32:57,5,1326.75,shipped
ORD00000616,CUST000156,PROD00008,2026-06-03 13:14:14,3,712.2,placed
ORD00000617,CUST000180,PROD00046,2026-06-03 08:59:30,4,775.12,placed
ORD00000618,CUST000025,PROD00012,2026-06-03 00:01:10,1,338.81,placed
ORD00000619,CUST000382,PROD00021,2026-06-03 10:23:17,2,637.42,placed
ORD00000620,CUST000466,PROD00039,2026-06-03 15:41:19,1,223.66,placed
ORD00000621,CUST000486,PROD00032,2026-06-03 12:10:15,3,372.63,placed
ORD00000622,CUST000050,PROD00043,2026-06-03 20:05:21,1,423.43,delivered
ORD00000623,CUST000067,PROD00022,2026-06-03 13:09:27,3,164.25,shipped
ORD00000624,CUST000302,PROD00034,2026-06-03 13:31:45,5,1603.8,placed
ORD00000625,CUST000142,PROD00014,2026-06-03 13:58:58,5,1576.35,placed
ORD00000626,CUST000055,PROD00009,2026-06-03 04:22:55,5,862.95,placed
ORD00000627,CUST000496,PROD00059,2026-06-03 07:01:27,2,758.02,shipped
ORD00000628,CUST000474,PROD00007,2026-06-03 19:54:01,1,485.13,shipped
ORD00000629,CUST000155,PROD00047,2026-06-03 07:21:16,4,1158.12,shipped
ORD00000630,CUST000079,PROD00003,2026-06-03 06:58:47,2,846.58,placed
ORD00000631,CUST000365,PROD00017,2026-06-03 12:38:46,5,606.05,delivered
