order_id,customer_id,product_id,order_ts,quantity,order_total,status
ORD00001201,CUST000440,PROD00052,2026-06-05 06:36:59,4,1947.72,placed
ORD00001202,CUST000024,PROD00057,2026-06-05 15:21:04,5,567.05,shipped
ORD00001203,CUST000145,PROD00054,2026-06-05 13:42:04,5,2262.8,placed
ORD00001204,CUST000128,PROD00047,2026-06-05 22:16:30,3,868.59,placed
ORD00001205,CUST000137,PROD00029,2026-06-05 11:22:26,5,470.65,placed
ORD00001206,CUST000228,PROD00001,2026-06-05 20:25:09,2,965.7,placed
ORD00001207,CUST000198,PROD00010,2026-06-05 12:56:45,2,403.5,shipped
ORD00001208,CUST000125,PROD00053,2026-06-05 10:01:13,4,1495.44,shipped
ORD00001209,CUST000065,PROD00001,2026-06-05 20:53:38,5,2414.25,cancelled
ORD00001210,CUST000399,PROD00015,2026-06-05 19:27:53,3,739.59,placed
ORD00001211,CUST000357,PROD00033,2026-06-05 22:21:28,2,151.68,placed
ORD00001212,CUST000224,PROD00009,2026-06-05 14:23:18,3,517.77,placed
ORD00001213,CUST000386,PROD00034,2026-06-05 21:54:57,4,1283.04,shipped
ORD00001214,CUST000218,PROD00002,2026-06-05 02:18:31,5,2177.5,placed
ORD00001215,CUST000038,PROD00014,2026-06-05 21:21:13,1,315.27,delivered
ORD00001216,CUST000372,PROD00016,2026-06-05 21:50:02,3,68.31,shipped
ORD00001217,CUST000084,PROD00053,2026-06-05 14:49:56,2,747.72,placed
ORD00001218,CUST000110,PROD00031,2026-06-05 00:00:55,4,777.44,placed
ORD00001219,CUST000128,PROD00003,2026-06-05 11:41:42,3,1269.87,shipped
ORD00001220,CUST000049,PROD00026,2026-06-05 00:47:54,3,571.65,cancelled
ORD00001221,CUST000185,PROD00059,2026-06-05 10:59:55,3,1137.03,placed
ORD00001222,CUST000135,PROD00008,2026-06-05 03:32:41,5,1187.0,placed
ORD00001223,CUST000333,PROD00003,2026-06-05 10:31:39,2,846.58,placed
ORD00001224,CUST000404,PROD00037,2026-06-05 14:38:19,4,1804.4,delivered
ORD00001225,CUST000241,PROD00049,2026-06-05 02:22:43,4,1323.28,delivered
ORD00001226,CUST000065,PROD00045,2026-06-05 21:38:48,3,732.57,shipped
ORD00001227,CUST000386,PROD00035,2026-06-05 19:54:17,1,131.39,shipped
ORD00001228,CUST000465,PROD00047,2026-06-05 14:35:21,1,289.53,placed
ORD00001229,CUST000283,PROD00010,2026-06-05 09:53:05,1,201.75,placed
ORD00001230,CUST000139,PROD00027,2026-06-05 03:48:28,5,629.4,delivered
ORD00001231,CUST000430,PROD00021,2026-06-05 06:43:30,5,1593.55,cancelled
ORD00001232,CUST000321,PROD00025,2026-06-05 19:52:34,3,98.34,placed
ORD00001233,CUST000340,PROD00035,2026-06-05 09:03:53,5,656.95,shipped
ORD00001234,CUST000298,PROD00026,2026-06-05 20:00:30,5,952.75,placed
ORD00001235,CUST000477,PROD00033,2026-06-05 20:39:06,4,303.36,placed
ORD00001236,CUST000457,PROD00056,2026-06-05 11:55:03,1,305.5,placed
ORD00001237,CUST000134,PROD00021,2026-06-05 04:01:42,1,318.71,placed
ORD00001238,CUST000070,PROD00047,2026-06-05 06:34:29,5,1447.65,placed
ORD00001239,CUST000352,PROD00050,2026-06-05 13:09:18,4,36.04,placed
ORD00001240,CUST000476,PROD00025,2026-06-05 12:47:20,1,32.78,placed
ORD00001241,CUST000243,PROD00006,2026-06-05 02:15:09,4,831.76,placed
ORD00001242,CUST000306,PROD00035,2026-06-05 14:22:38,5,656.95,placed
ORD00001243,CUST000161,PROD00016,2026-06-05 23:34:44,4,91.08,placed
